"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.183823000E0,-1.207987976E-1,-1.302740936E0,9.776170349E0,9.863327683E0
2.193746000E0,-1.143621826E-1,-1.304537201E0,9.786049805E0,9.873280448E0
2.203669000E0,-1.127156067E-1,-1.302890625E0,9.782906342E0,9.869928332E0
2.213592000E0,-1.215472412E-1,-1.315015411E0,9.783654785E0,9.872382702E0
2.223515000E0,-1.163081360E-1,-1.336420898E0,9.777068481E0,9.868668425E0
2.233439000E0,-1.118174744E-1,-1.338666229E0,9.788145447E0,9.879894823E0
2.243362000E0,-1.049317932E-1,-1.342558136E0,9.788744202E0,9.880940546E0
2.253285000E0,-9.340576172E-2,-1.331630859E0,9.798773346E0,9.889283314E0
2.263208000E0,-9.759704590E-2,-1.340013428E0,9.800569611E0,9.892235635E0
2.273131000E0,-1.004411316E-1,-1.346450043E0,9.800270233E0,9.892841492E0
2.283054000E0,-9.011260986E-2,-1.352138214E0,9.799072723E0,9.892331589E0
2.292978000E0,-9.714797974E-2,-1.340312805E0,9.803862762E0,9.895534408E0
2.302901000E0,-1.035845947E-1,-1.324894867E0,9.808203735E0,9.897824846E0
2.312824000E0,-1.058299255E-1,-1.311123505E0,9.809251556E0,9.897053143E0
2.322747000E0,-1.026864624E-1,-1.314266968E0,9.813293152E0,9.901442554E0
2.332670000E0,-1.010398865E-1,-1.299148407E0,9.799970856E0,9.886223972E0
2.342594000E0,-1.137634277E-1,-1.306034088E0,9.800419922E0,9.887714488E0
2.352517000E0,-9.804611206E-2,-1.312770081E0,9.815089417E0,9.902977258E0
2.362440000E0,-9.580078125E-2,-1.298100586E0,9.813293152E0,9.899240648E0
2.372363000E0,-9.116043091E-2,-1.280437317E0,9.807904358E0,9.891552853E0
2.382286000E0,-8.726852417E-2,-1.257534943E0,9.797875214E0,9.878631921E0
2.392209000E0,-8.831634521E-2,-1.243164825E0,9.803713074E0,9.882613449E0
2.402133000E0,-1.041833496E-1,-1.259031830E0,9.796677704E0,9.877798811E0
2.412056000E0,-1.240919495E-1,-1.270707550E0,9.799072723E0,9.881898741E0
2.421979000E0,-1.267863464E-1,-1.270408173E0,9.786947937E0,9.869871409E0
2.431902000E0,-1.365161133E-1,-1.264720001E0,9.803114319E0,9.885302407E0
