"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.358128583E0,-2.718646545E0,-6.629713440E-1,9.207053833E0,9.622910699E0
1.368051583E0,-3.029699707E0,-4.855902100E-1,9.585766296E0,1.006487922E1
1.377974583E0,-3.385509796E0,-4.839436340E-1,1.009755203E1,1.066097721E1
1.387897583E0,-4.308789825E0,-5.758525085E-1,1.046144531E1,1.132868544E1
1.397820583E0,-4.874912567E0,-5.343887329E-2,1.134595596E1,1.234902202E1
1.407743583E0,-5.031636658E0,-4.842430115E-1,1.159503799E1,1.264898276E1
1.417666583E0,-5.088668060E0,-3.860472107E-1,1.126287872E1,1.236511271E1
1.427589583E0,-4.729864197E0,-8.955876160E-1,1.116393448E1,1.215759538E1
1.437512583E0,-4.278103638E0,-6.824308777E-1,1.019350250E1,1.107589165E1
1.447435583E0,-3.036435699E0,-9.288185120E-1,9.368418274E0,9.891911167E0
1.457358583E0,-3.119812317E0,-7.134164429E-1,9.094038849E0,9.640733089E0
1.467281583E0,-3.294948120E0,-1.040336609E0,8.856931915E0,9.507061919E0
1.477204583E0,-3.454815674E0,-6.610253906E-1,9.015302582E0,9.677209647E0
1.487127583E0,-3.345991974E0,-6.979985046E-1,9.135652313E0,9.754127710E0
1.497050583E0,-3.683540039E0,-7.911048889E-1,8.955876160E0,9.716070808E0
1.506973583E0,-3.562142487E0,-6.363267517E-1,9.146429901E0,9.836206116E0
1.516896583E0,-3.749852142E0,-6.165678406E-1,9.208401031E0,9.961736623E0
1.526819583E0,-3.884721680E0,-4.623884583E-1,9.658964081E0,1.042115410E1
1.536742583E0,-4.902754669E0,-9.099577332E-1,1.043914169E1,1.156895439E1
1.546665583E0,-5.785618744E0,-6.960525513E-2,1.127979355E1,1.267722255E1
1.556588583E0,-6.347550201E0,-4.311035156E-2,1.173918823E1,1.334547835E1
1.566511583E0,-5.756878510E0,3.577560425E-2,1.102307739E1,1.243588217E1
1.576434583E0,-4.437971191E0,1.874102783E-1,1.018137772E1,1.110815750E1
1.586357583E0,-4.114793243E0,4.418811035E-1,1.004635849E1,1.086536245E1
1.596280583E0,-4.745282135E0,4.676275635E-1,9.807455292E0,1.090516196E1
1.606203583E0,-4.570894775E0,5.053491211E-1,9.899813232E0,1.091580317E1
1.616125583E0,-4.567901001E0,3.665876770E-1,1.001357666E1,1.101234869E1
1.626049583E0,-4.542603607E0,8.650511169E-1,1.007420059E1,1.108481297E1
1.635971583E0,-4.320465546E0,7.777825928E-1,1.004635849E1,1.096360740E1
1.645894583E0,-4.727918243E0,2.550695801E-1,9.718540192E0,1.081056404E1
1.655817583E0,-4.259841614E0,7.379653931E-1,9.994416504E0,1.088940792E1
1.665740583E0,-4.426445160E0,4.975653076E-1,9.927505646E0,1.088100898E1
1.675663583E0,-4.165238342E0,8.527766418E-1,9.689201202E0,1.058097625E1
1.685586583E0,-4.442461853E0,1.082249451E-1,9.832153931E0,1.078973729E1
1.695509583E0,-4.124073944E0,1.024170227E0,9.798923035E0,1.068062747E1
1.705432583E0,-4.201612701E0,3.619473267E-1,9.737550659E0,1.061152430E1
1.715355583E0,-4.265978851E0,7.512876892E-1,9.795031128E0,1.071007206E1
