"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.903417625E0,5.140231922E-2,6.667034328E-2,-1.381253600E-1,1.617583017E-1
1.913340625E0,5.347319320E-2,6.967465580E-2,-1.484285891E-1,1.724673480E-1
1.923262625E0,4.812685028E-2,7.281434536E-2,-1.583519131E-1,1.808133042E-1
1.933185625E0,3.395723552E-2,7.458055019E-2,-1.734983772E-1,1.918776673E-1
1.943108625E0,8.267789148E-3,7.044802606E-2,-1.861771941E-1,1.992315947E-1
1.953030625E0,-2.047251165E-2,7.042805105E-2,-1.982780546E-1,2.114081858E-1
1.962953625E0,-4.527208209E-2,6.599378586E-2,-2.162077576E-1,2.305439993E-1
1.972875625E0,-5.911386386E-2,6.760979444E-2,-2.291304767E-1,2.461022319E-1
1.982798625E0,-5.850045010E-2,6.782280654E-2,-2.433114946E-1,2.592734447E-1
1.992720625E0,-5.196825042E-2,6.917409599E-2,-2.619174123E-1,2.758377883E-1
2.002643625E0,-4.439860582E-2,7.261683047E-2,-2.814674973E-1,2.940550838E-1
2.012566625E0,-3.406075016E-2,7.181867957E-2,-2.970688045E-1,3.075189946E-1
2.022488625E0,-2.840183862E-2,7.838153094E-2,-3.136678040E-1,3.245578840E-1
2.032411625E0,-1.869781315E-2,7.927555591E-2,-3.328361511E-1,3.426574463E-1
2.042333625E0,-1.653766073E-2,8.192496747E-2,-3.513301611E-1,3.611344301E-1
2.052256625E0,-7.418197580E-3,8.035077155E-2,-3.669698536E-1,3.757368090E-1
2.062179625E0,-1.114105247E-2,6.961784512E-2,-3.832257986E-1,3.896572598E-1
2.072101625E0,-2.154655568E-2,5.191394687E-2,-3.987624347E-1,4.027043472E-1
2.082024625E0,-3.734366596E-2,2.817614749E-2,-4.202478528E-1,4.228435910E-1
2.091946625E0,-4.999048635E-2,5.993084051E-3,-4.375253916E-1,4.404127996E-1
2.101869625E0,-5.472733825E-2,-8.488913998E-3,-4.578975737E-1,4.612345729E-1
2.111792625E0,-4.535540566E-2,-1.614124142E-2,-4.779027104E-1,4.803214061E-1
2.121714625E0,-3.262718022E-2,-1.683814824E-2,-4.959627390E-1,4.973199117E-1
2.131637625E0,-2.297375165E-2,-1.282263361E-2,-5.188733935E-1,5.195400001E-1
2.141559625E0,-1.154210232E-2,-1.224574260E-2,-5.358627439E-1,5.361269053E-1
2.151482625E0,1.758788712E-3,-1.003931277E-2,-5.541072488E-1,5.542009782E-1
2.161405625E0,1.094170753E-2,-9.303184226E-3,-5.743029714E-1,5.744825264E-1
2.171327625E0,1.809229515E-2,-1.004034653E-2,-5.913856030E-1,5.917474724E-1
2.181250625E0,3.165727854E-2,-8.699333295E-3,-6.102749109E-1,6.111573681E-1
2.191172625E0,3.984543309E-2,-8.373629302E-3,-6.282331347E-1,6.295511479E-1
2.201095625E0,5.054198951E-2,-1.089409553E-2,-6.453351974E-1,6.474030360E-1
2.211018625E0,5.752373114E-2,-1.116706897E-2,-6.613943577E-1,6.639850747E-1
2.220940625E0,6.719176471E-2,-1.174974442E-2,-6.762973666E-1,6.797285619E-1
2.230863625E0,7.347016037E-2,-1.279556751E-2,-6.932526827E-1,6.972523740E-1
2.240785625E0,7.079736143E-2,-2.295143716E-2,-7.097116113E-1,7.136032553E-1
2.250708625E0,6.215886772E-2,-3.456095606E-2,-7.264157534E-1,7.298890541E-1
2.260631625E0,4.267241061E-2,-5.251840129E-2,-7.432838082E-1,7.463577806E-1
2.270553625E0,2.512457594E-2,-6.479956955E-2,-7.582073808E-1,7.613860130E-1
2.280476625E0,1.392973214E-2,-7.244112343E-2,-7.768878341E-1,7.803822528E-1
2.290398625E0,1.679502614E-2,-7.007330656E-2,-7.943105102E-1,7.975722712E-1
2.300321625E0,2.050192468E-2,-6.828874350E-2,-8.135036230E-1,8.166222052E-1
2.310244625E0,2.818514407E-2,-6.472170353E-2,-8.309984207E-1,8.339914127E-1
2.320166625E0,3.000355884E-2,-5.970012024E-2,-8.510206342E-1,8.536395244E-1
2.330089625E0,3.655120730E-2,-5.550058186E-2,-8.693261147E-1,8.718624886E-1
2.340011625E0,4.051040113E-2,-5.082613602E-2,-8.873840570E-1,8.897611215E-1
2.349934625E0,4.281963035E-2,-4.710649699E-2,-9.051934481E-1,9.074291825E-1
2.359857625E0,4.743646458E-2,-4.312705621E-2,-9.231016040E-1,9.253252036E-1
2.369779625E0,4.953823239E-2,-3.947320208E-2,-9.371178150E-1,9.392560723E-1
2.379702625E0,4.724994674E-2,-3.416647017E-2,-9.562641382E-1,9.580401908E-1
2.389624625E0,3.511951491E-2,-3.011020832E-2,-9.730274081E-1,9.741264507E-1
2.399547625E0,1.875200123E-2,-3.052780032E-2,-9.891409278E-1,9.897895530E-1
2.409469625E0,1.987935044E-3,-2.550614253E-2,-1.006418228E0,1.006743346E0
2.419392625E0,-1.414452307E-2,-2.223114297E-2,-1.021656871E0,1.021996601E0
2.429315625E0,-2.124877088E-2,-1.401262730E-2,-1.041096926E0,1.041408024E0
2.439237625E0,-2.041267976E-2,-8.884237148E-3,-1.060174584E0,1.060408297E0
2.449160625E0,-2.272483706E-2,4.016914405E-3,-1.078316092E0,1.078563002E0
