"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.251209000E0,3.925646342E0,-3.021536994E0,1.276308364E1,1.369075195E1
2.261203000E0,2.355050304E0,-3.272933061E0,1.463191107E1,1.517732434E1
2.271197000E0,1.412290276E0,-7.846699550E-1,1.337253659E1,1.346978120E1
2.281191000E0,1.607299011E0,1.747484544E0,1.020913562E1,1.048158206E1
2.291185000E0,1.108742673E0,3.366355487E0,6.979014409E0,7.827407086E0
2.301179000E0,9.590003774E-2,4.137030789E0,4.030717299E0,5.776755362E0
2.311173000E0,-1.042445626E0,4.453496134E0,1.389972623E0,4.780412596E0
2.321167000E0,-2.083563496E0,4.550061146E0,-1.118392845E0,5.127874397E0
2.331161000E0,-2.706139351E0,4.367592350E0,-3.300109457E0,6.106535479E0
2.341155000E0,-3.002584414E0,3.987681499E0,-4.708399068E0,6.861934034E0
2.351149000E0,-2.527164266E0,3.736102999E0,-5.066698317E0,6.783543078E0
2.361143000E0,-1.885301663E0,3.912205347E0,-4.404800522E0,6.185626943E0
2.371137000E0,-1.440961221E0,3.988488123E0,-4.097415318E0,5.896882145E0
2.381131000E0,-4.469135828E-1,4.107729807E0,-5.129726039E0,6.586901028E0
2.391125000E0,5.969119866E-1,4.879359082E0,-6.308265683E0,7.997416139E0
2.401119000E0,5.057997221E-1,6.051340197E0,-7.176804664E0,9.401121035E0
2.411113000E0,-8.249098353E-1,6.318082573E0,-7.342663275E0,9.721797550E0
2.421107000E0,-2.810674118E0,5.383621498E0,-7.162738017E0,9.390851151E0
2.431101000E0,-4.696130440E0,3.720488887E0,-6.461048750E0,8.811403386E0
2.441095000E0,-5.801592752E0,1.537775763E0,-4.429449459E0,7.459440681E0
2.451089000E0,-6.608276963E0,-2.199770768E-1,-1.169479383E0,6.714565984E0
2.461083000E0,-5.978483305E0,-7.322893547E-1,1.881194286E0,6.310103190E0
2.471077000E0,-4.058009763E0,-2.065227798E-1,3.311139060E0,5.241539542E0
2.481071000E0,-2.205135881E0,8.275695875E-1,2.663353520E0,3.555411038E0
2.491065000E0,-1.860371036E0,2.298440047E0,1.526091710E0,3.327576137E0
2.501060000E0,-2.513739059E0,3.705277940E0,8.650698280E-1,4.560297631E0
2.511054000E0,-2.738232379E0,4.475946811E0,1.229028597E0,5.389111959E0
2.521048000E0,-2.337408377E0,4.628538674E0,2.440501513E0,5.730872169E0
2.531042000E0,-2.656067889E0,4.494218775E0,4.688059528E0,7.016452178E0
2.541036000E0,-3.713937374E0,3.496419783E0,7.750283203E0,9.278209517E0
2.551030000E0,-5.385115462E0,6.461015421E-1,1.130359522E1,1.253747107E1
2.561024000E0,-7.335755959E0,-1.686950659E0,1.417226495E1,1.604718704E1
2.571018000E0,-6.589733688E0,-2.385821715E0,1.298498898E1,1.475556418E1
2.581012000E0,-4.431355359E0,-1.426299181E0,9.104811174E0,1.022589000E1
2.591006000E0,-2.247818655E0,4.101456329E-2,4.878315647E0,5.371436907E0
2.601000000E0,-4.214530882E-1,9.095672853E-1,1.507376527E0,1.810281566E0
2.610994000E0,1.119402513E0,6.574485026E-1,-8.067111075E-2,1.300695332E0
2.620988000E0,1.970422066E0,-4.370792238E-1,-1.779120612E-1,2.026142658E0
2.630982000E0,2.743454820E0,-1.910070468E0,-1.287410706E-1,3.345368112E0
2.640976000E0,2.793684156E0,-3.241995735E0,-7.807319283E-2,4.280339114E0
2.650970000E0,1.254187850E0,-4.290278125E0,-4.286038309E-1,4.490342392E0
2.660964000E0,-2.179291078E-1,-5.030837928E0,-1.294956538E0,5.199397637E0
2.670958000E0,-5.767550994E-1,-5.025454981E0,-2.360682342E0,5.582173890E0
2.680952000E0,1.606691339E-1,-4.471060585E0,-3.726096075E0,5.822369731E0
2.690946000E0,1.572778950E0,-3.598782309E0,-5.283797833E0,6.583569493E0
2.700940000E0,3.558875940E0,-2.648787229E0,-6.784671671E0,8.106382758E0
2.710934000E0,4.611147300E0,-1.696454578E0,-7.742634460E0,9.170006867E0
2.720928000E0,4.530517997E0,-1.900721355E0,-8.511028179E0,9.827305615E0
2.730922000E0,3.214248943E0,-3.161115294E0,-7.717492018E0,8.937769812E0
2.740916000E0,1.667684522E0,-4.441072555E0,-5.882972546E0,7.557358207E0
2.750910000E0,7.413526120E-1,-5.581524605E0,-3.822278679E0,6.805353401E0
2.760904000E0,6.828660567E-1,-6.139791613E0,-1.775937388E0,6.427853507E0
2.770898000E0,1.601458958E0,-5.823151436E0,-7.085831344E-1,6.080777377E0
2.780892000E0,3.192720664E0,-4.482328754E0,-6.820929086E-1,5.545267084E0
2.790886000E0,4.673916868E0,-2.471292951E0,-1.454014252E0,5.483333401E0
2.800880000E0,5.343159935E0,-3.539848807E-1,-2.587407544E0,5.947212893E0
2.810874000E0,5.005622395E0,1.573448895E0,-2.464354645E0,5.796985493E0
2.820868000E0,3.275409649E0,3.117990909E0,-1.990200419E0,4.940756358E0
2.830862000E0,2.093768057E0,3.271921493E0,-2.970669726E0,4.890216105E0
2.840856000E0,1.531300995E0,1.984459038E0,-3.202595442E0,4.066887997E0
2.850851000E0,1.676537645E0,-2.406287116E-1,-1.154909876E0,2.049999384E0
2.860845000E0,3.726181444E0,-1.994525020E0,1.845392954E0,4.611727807E0
2.870839000E0,5.593872170E0,-9.361653922E-1,5.014771534E0,7.570716283E0
2.880833000E0,6.318491879E0,2.082009745E0,7.038605137E0,9.685043442E0
2.890827000E0,6.740052153E0,4.543854619E0,7.029561249E0,1.074661106E1
2.900821000E0,5.881603128E0,6.038441239E0,4.748570024E0,9.674964869E0
2.910815000E0,3.749731982E0,7.049675671E0,1.438829618E0,8.113485544E0
2.920809000E0,1.628242129E0,7.101867918E0,-1.814459429E0,7.508659226E0
2.930803000E0,3.256657921E-2,6.057759855E0,-4.323035397E0,7.442187184E0
2.940797000E0,-8.780559824E-1,4.517704409E0,-4.844717546E0,6.682209480E0
2.950791000E0,-1.594744746E0,2.729048742E0,-3.019134373E0,4.371051384E0
2.960785000E0,-2.320822311E0,7.921417464E-1,3.614573300E-2,2.452551990E0
2.970779000E0,-2.466389768E0,-5.788680638E-1,2.857071775E0,3.818510947E0
2.980773000E0,-2.043103542E0,-6.655726241E-1,4.623997434E0,5.098883335E0
2.990767000E0,-1.608022165E0,-8.424259007E-2,4.003492663E0,4.315180830E0
3.000761000E0,-1.490711816E0,1.146180568E0,1.709681418E0,2.541448832E0
3.010755000E0,-2.251464247E0,2.852540182E0,-4.362209988E-1,3.660104576E0
3.020749000E0,-3.580506252E0,4.067977511E0,-2.692480255E0,6.051273914E0
3.030743000E0,-4.784787386E0,4.661010309E0,-4.529705819E0,8.070777053E0
3.040737000E0,-5.257451448E0,4.225742991E0,-5.056187362E0,8.429871304E0
3.050731000E0,-5.708571737E0,2.887263288E0,-3.989709606E0,7.539354304E0
3.060725000E0,-6.535609521E0,1.070041049E0,-7.993079478E-1,6.670687584E0
3.070719000E0,-6.742868173E0,-8.428097704E-1,2.959040784E0,7.411647716E0
3.080713000E0,-6.512632887E0,-2.072653762E0,5.502938027E0,8.774543160E0
3.090707000E0,-5.753619272E0,-1.189290773E0,5.522588764E0,8.063345083E0
3.100701000E0,-3.918453097E0,1.564039263E0,3.150078090E0,5.265309627E0
3.110695000E0,-1.666857580E0,4.070615775E0,3.325533736E-1,4.411226442E0
3.120689000E0,-4.036886989E-1,6.373633461E0,-2.702923967E0,6.934837131E0
3.130683000E0,-3.956569634E-1,8.439015040E0,-4.010257891E0,9.351774572E0
3.140677000E0,-1.437141819E0,7.131403373E0,-2.029137613E0,7.552462521E0
3.150671000E0,-3.600900171E0,1.583292536E0,4.425064632E0,5.920683600E0
3.160665000E0,-6.743857521E0,-4.004068029E0,1.266441071E1,1.489629060E1
3.170659000E0,-9.047161721E0,-7.008703061E0,1.479039166E1,1.870103578E1
3.180653000E0,-7.919689904E0,-7.003684981E0,1.199370934E1,1.598818799E1
3.190647000E0,-4.972169890E0,-5.256882514E0,7.828437088E0,1.066028679E1
3.200641000E0,-3.240298508E-1,-2.861257212E0,2.657094076E0,3.918154808E0
3.210635000E0,3.697080436E0,-4.173698679E-1,-4.454555064E-1,3.747136502E0
3.220629000E0,4.033051800E0,-3.815235123E-2,-1.349505798E0,4.253014028E0
