"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.106794155E1,5.147997875E1,5.674524589E0,1.949352558E1,6.380713940E1,1.054697855E1,6.638872528E1,6.192716891E-1,4.757573842E0,3.345149948E0,-1.000000000E0
8.206795299E1,5.148001963E1,5.674672848E0,1.914770224E1,6.346125525E1,1.087015692E1,6.625462341E1,6.302019230E-1,4.753078370E0,3.351534431E0,-1.000000000E0
8.306796598E1,5.148005930E1,5.674817259E0,1.833603012E1,6.264952435E1,1.085135020E1,6.625462341E1,6.419251916E-1,4.755056979E0,3.348726648E0,-1.000000000E0
8.406797767E1,5.148010145E1,5.674972429E0,1.848199431E1,6.279542683E1,1.112132983E1,6.664781189E1,6.521086180E-1,4.754389509E0,3.349674228E0,-1.000000000E0
8.506798947E1,5.148013783E1,5.675107379E0,1.846908809E1,6.278246774E1,1.057185471E1,6.664781189E1,6.606223188E-1,4.753742816E0,3.350591928E0,-1.000000000E0
8.606800175E1,5.148016787E1,5.675220463E0,1.867168251E1,6.298501922E1,9.400216773E0,6.774739075E1,6.668899479E-1,4.754972801E0,3.348846174E0,-1.000000000E0
8.706801450E1,5.148018927E1,5.675304197E0,1.856079934E1,6.287410681E1,7.579303606E0,6.774739075E1,6.715313656E-1,4.755206543E0,3.348514263E0,-1.000000000E0
8.806802630E1,5.148021392E1,5.675358279E0,1.780438407E1,6.211763998E1,5.675258760E0,6.774739075E1,6.765597535E-1,4.754808148E0,3.349079950E0,-1.000000000E0
8.906803882E1,5.148018902E1,5.675418887E0,1.756345809E1,6.187681461E1,4.822859317E0,1.070390066E2,6.827502657E-1,4.750006009E0,3.355887356E0,-1.000000000E0
9.006805146E1,5.148013360E1,5.675427377E0,1.770159372E1,6.201512092E1,5.116405529E0,1.555143280E2,6.903132172E-1,4.747223433E0,3.359822422E0,-1.000000000E0
9.106806433E1,5.148007167E1,5.675472542E0,1.826417966E1,6.257791260E1,6.307120720E0,1.555143280E2,6.963159533E-1,4.743994140E0,3.364380572E0,-1.000000000E0
9.206807697E1,5.148002252E1,5.675508389E0,1.870937809E1,6.302327433E1,6.153109845E0,1.555143280E2,7.046320631E-1,4.746247207E0,3.361201346E0,-1.000000000E0
9.306808853E1,5.147995429E1,5.675557588E0,1.810422331E1,6.241834598E1,7.276842097E0,1.559361877E2,7.129148595E-1,4.747715314E0,3.359127317E0,-1.000000000E0
9.406810153E1,5.147988625E1,5.675606250E0,1.867976305E1,6.299411138E1,7.956988477E0,1.559361877E2,7.209306306E-1,4.748544263E0,3.357955392E0,-1.000000000E0
9.506811357E1,5.147982475E1,5.675666643E0,1.839293919E1,6.270749840E1,7.910314267E0,1.559361877E2,7.297940900E-1,4.744410099E0,3.363793965E0,-1.000000000E0
9.606812668E1,5.147975329E1,5.675723334E0,1.805251587E1,6.236731445E1,8.375677009E0,1.559229126E2,7.386792519E-1,4.745821734E0,3.361802062E0,-1.000000000E0
9.706813967E1,5.147968075E1,5.675777142E0,1.854696398E1,6.286200395E1,8.625672407E0,1.554315643E2,7.482554193E-1,4.745814617E0,3.361812109E0,-1.000000000E0
9.806815207E1,5.147960174E1,5.675832177E0,1.883092385E1,6.314622523E1,9.085896129E0,1.554315643E2,7.583562924E-1,4.745244269E0,3.362617114E0,-1.000000000E0
9.906816387E1,5.147951824E1,5.675889594E0,1.885337881E1,6.316895618E1,9.567203436E0,1.545142212E2,7.682157812E-1,4.742659963E0,3.366261057E0,-1.000000000E0
