"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.390813167E0,5.987548828E-2,4.745132446E-2,9.876910858E0,9.877206326E0
1.400806167E0,1.065783691E-1,6.855743408E-2,9.810299377E0,9.811117823E0
1.410800167E0,8.756790161E-2,9.954299927E-2,9.836794281E0,9.837687669E0
1.420794167E0,3.727249146E-2,1.007405090E-1,9.803563385E0,9.804151821E0
1.430788167E0,2.140548706E-2,8.053253174E-2,9.864935760E0,9.865287692E0
1.440782167E0,7.185058594E-2,4.775070190E-2,9.856403503E0,9.856781050E0
1.450776167E0,1.194515991E-1,6.526428223E-2,9.873468018E0,9.874406251E0
1.460770167E0,8.936416626E-2,8.936416626E-2,9.834848328E0,9.835660300E0
1.470764167E0,3.592529297E-2,1.166075134E-1,9.823621674E0,9.824379407E0
1.480758167E0,-1.137634277E-2,1.260379028E-1,9.851613464E0,9.852426241E0
1.490752167E0,-1.916015625E-2,9.325607300E-2,9.876461792E0,9.876920640E0
1.500746167E0,4.146377563E-2,5.418731689E-2,9.840835876E0,9.841072414E0
1.510740167E0,6.750961304E-2,7.050338745E-2,9.861492920E0,9.861976013E0
1.520734167E0,5.897735596E-2,1.098715210E-1,9.773775330E0,9.774570797E0
1.530728167E0,4.610412598E-2,1.411564636E-1,9.851164398E0,9.852283529E0
1.540722167E0,7.634124756E-2,7.349716187E-2,9.837842102E0,9.838412832E0
1.550716167E0,9.430389404E-2,3.278182983E-2,9.895921326E0,9.896424948E0
1.560710167E0,1.414558411E-1,7.334747314E-3,9.798773346E0,9.799797071E0
1.570703167E0,8.726852417E-2,7.095245361E-2,9.820627899E0,9.821271933E0
1.580697167E0,6.691085815E-2,1.074765015E-1,9.809251556E0,9.810068520E0
1.590691167E0,5.703140259E-2,7.903564453E-2,9.911638641E0,9.912117825E0
1.600685167E0,2.544708252E-2,3.906875610E-2,9.842781830E0,9.842892261E0
1.610679167E0,1.841171265E-2,3.532653809E-2,9.854158173E0,9.854238694E0
1.620673167E0,-5.688171387E-3,9.265731812E-2,9.785600739E0,9.786041056E0
1.630667167E0,2.694396973E-2,1.115180969E-1,9.908495178E0,9.909159347E0
1.640661167E0,5.733078003E-2,1.023870850E-1,9.831106110E0,9.831806409E0
1.650655167E0,6.810836792E-2,1.037342834E-1,9.875563660E0,9.876343309E0
1.660649167E0,6.047424316E-2,1.128652954E-1,9.785600739E0,9.786438449E0
1.670643167E0,7.589218140E-2,1.131646729E-1,9.836494904E0,9.837438582E0
1.680637167E0,7.364685059E-2,8.322692871E-2,9.831555176E0,9.832183265E0
1.690631167E0,1.008901978E-1,5.942642212E-2,9.839488678E0,9.840185353E0
1.700625167E0,1.010398865E-1,7.918533325E-2,9.847871246E0,9.848707908E0
1.710619167E0,4.730163574E-2,1.098715210E-1,9.777517548E0,9.778249260E0
1.720613167E0,1.975891113E-2,8.696914673E-2,9.866732025E0,9.867135091E0
1.730607167E0,1.496887207E-3,8.277786255E-2,9.779164124E0,9.779514577E0
1.740601167E0,5.313949585E-2,6.271957397E-2,9.948013000E0,9.948352638E0
1.750594167E0,1.155596924E-1,4.580474854E-2,9.784702606E0,9.785492180E0
1.760588167E0,7.244934082E-2,7.409591675E-2,9.905501404E0,9.906043467E0
1.770582167E0,6.301895142E-2,8.861572266E-2,9.783355408E0,9.783959688E0
1.780576167E0,-5.987548828E-4,8.607101440E-2,9.911189575E0,9.911563316E0
1.790570208E0,5.149291992E-2,4.625381470E-2,9.829010468E0,9.829254179E0
1.800564208E0,9.804611206E-2,3.667373657E-2,9.829010468E0,9.829567883E0
1.810558208E0,1.008901978E-1,5.269042969E-2,9.808353424E0,9.809013814E0
1.820552208E0,4.475692749E-2,8.846603394E-2,9.839189301E0,9.839688791E0
1.830546208E0,2.544708252E-2,1.169068909E-1,9.851463776E0,9.852190279E0
1.840540208E0,2.739303589E-2,9.535171509E-2,9.867779846E0,9.868278544E0
1.850534208E0,8.442443848E-2,7.888595581E-2,9.822723541E0,9.823403089E0
1.860528208E0,1.022373962E-1,9.744735718E-2,9.848170624E0,9.849183373E0
1.870522208E0,5.718109131E-2,9.984237671E-2,9.848170624E0,9.848842714E0
1.880516208E0,4.655319214E-2,1.100212097E-1,9.847422180E0,9.848146803E0
1.890510208E0,4.700225830E-2,8.532257080E-2,9.842632141E0,9.843114173E0
1.900504208E0,4.340972900E-2,6.376739502E-2,9.815837860E0,9.816140972E0
1.910498208E0,6.825805664E-2,7.304809570E-2,9.826316071E0,9.826824650E0
1.920491208E0,3.861968994E-2,9.699829102E-2,9.780062256E0,9.780619504E0
1.930485208E0,6.182144165E-2,6.706054688E-2,9.857900391E0,9.858322328E0
1.940479208E0,7.200027466E-2,5.119354248E-2,9.768685913E0,9.769085386E0
1.950473208E0,1.269360352E-1,5.673202515E-2,9.918973389E0,9.919947801E0
1.960467208E0,7.574249268E-2,1.209484863E-1,9.752669220E0,9.753713261E0
1.970461208E0,7.065307617E-2,1.336720276E-1,9.954000549E0,9.955148769E0
1.980455208E0,4.939727783E-2,9.969268799E-2,9.776020660E0,9.776653757E0
1.990449208E0,7.559280396E-2,6.691085815E-2,9.957742767E0,9.958254483E0
2.000443208E0,8.816665649E-2,6.960525513E-2,9.743538208E0,9.744185705E0
2.010437208E0,2.260299683E-2,8.472381592E-2,9.909542999E0,9.909930952E0
2.020431208E0,-5.688171387E-3,8.696914673E-2,9.839488678E0,9.839874665E0
2.030425208E0,1.496887207E-4,7.409591675E-2,9.877210236E0,9.877488156E0
2.040419208E0,3.742218018E-3,6.885681152E-2,9.849667511E0,9.849908900E0
2.050413208E0,5.448669434E-2,4.326004028E-2,9.805958405E0,9.806205202E0
2.060407208E0,5.957611084E-2,4.146377563E-2,9.854607239E0,9.854874550E0
2.070401208E0,4.116439819E-2,3.787124634E-2,9.831854553E0,9.832013664E0
2.080395208E0,7.484436035E-2,7.664062500E-2,9.826166382E0,9.826750288E0
2.090389208E0,3.068618774E-2,1.287322998E-1,9.809700623E0,9.810593252E0
2.100382208E0,7.020401001E-2,9.535171509E-2,9.849068756E0,9.849780501E0
2.110376208E0,8.023315430E-2,9.190887451E-2,9.817783813E0,9.818541827E0
2.120370208E0,9.714797974E-2,7.828720093E-2,9.876761169E0,9.877549181E0
2.130364208E0,9.310638428E-2,1.392105103E-1,9.771230621E0,9.772665768E0
2.140358208E0,9.026229858E-2,1.414558411E-1,9.918075256E0,9.919494636E0
2.150352208E0,5.553451538E-2,6.795867920E-2,9.761650543E0,9.762045062E0
2.160346208E0,6.481521606E-2,3.981719971E-2,9.918524323E0,9.918816016E0
2.170340208E0,4.745132446E-2,6.825805664E-2,9.765392761E0,9.765746596E0
2.180334208E0,6.391708374E-2,8.128097534E-2,9.877958679E0,9.878499869E0
2.190328208E0,5.553451538E-2,2.769241333E-2,9.836195526E0,9.836391278E0
2.200322208E0,3.966751099E-2,1.227447510E-2,9.838440857E0,9.838528481E0
2.210316208E0,5.643264771E-2,6.900650024E-2,9.863139496E0,9.863542328E0
2.220310208E0,6.197113037E-2,1.044827271E-1,9.801018677E0,9.801771481E0
2.230304208E0,6.706054688E-2,1.170565796E-1,9.828112335E0,9.829038174E0
2.240298208E0,6.421646118E-2,1.085243225E-1,9.841584320E0,9.842392149E0
2.250292208E0,6.900650024E-2,8.562194824E-2,9.886341248E0,9.886952831E0
2.260286208E0,2.874023438E-2,5.927673340E-2,9.889185333E0,9.889404749E0
2.270279208E0,2.035766602E-2,6.870712280E-2,9.790241089E0,9.790503342E0
2.280273208E0,-1.811233521E-2,1.166075134E-1,9.835746460E0,9.836454330E0
2.290267208E0,1.377136230E-2,1.432521057E-1,9.833950195E0,9.835003165E0
2.300261208E0,6.541397095E-2,1.017883301E-1,9.864037628E0,9.864779682E0
2.310255208E0,1.059796143E-1,-8.981323242E-3,9.847871246E0,9.848445584E0
2.320249208E0,1.167572021E-1,-2.499801636E-2,9.836644592E0,9.837369261E0
2.330243208E0,9.250762939E-2,7.080276489E-2,9.838590546E0,9.839280188E0
2.340237208E0,2.080673218E-2,1.182540894E-1,9.739346924E0,9.740087035E0
2.350231208E0,6.526428223E-2,1.058299255E-1,9.992620239E0,9.993393750E0
2.360225208E0,1.368154907E-1,5.583389282E-2,9.719887390E0,9.721010584E0
2.370219208E0,1.017883301E-1,1.013392639E-1,9.968819733E0,9.969854431E0
2.380213208E0,5.328918457E-2,1.185534668E-1,9.725276184E0,9.726144741E0
2.390207208E0,2.544708252E-2,1.387614441E-1,9.879754944E0,9.880762119E0
2.400201208E0,6.586303711E-3,1.161584473E-1,9.849218445E0,9.849905590E0
2.410195208E0,6.795867920E-2,7.753875732E-2,9.842781830E0,9.843321837E0
2.420189208E0,5.463638306E-2,6.331832886E-2,9.832153931E0,9.832509612E0
2.430183208E0,4.535568237E-2,8.831634521E-3,9.884245605E0,9.884353612E0
2.440176208E0,5.583389282E-2,-1.062789917E-2,9.828561401E0,9.828725736E0
2.450170208E0,7.604187012E-2,7.200027466E-2,9.886341248E0,9.886895856E0
2.460164208E0,7.499404907E-2,1.043330383E-1,9.726773071E0,9.727621697E0
2.470158208E0,5.628295898E-2,1.360670471E-1,9.950408020E0,9.951497464E0
2.480152208E0,6.376739502E-2,1.061293030E-1,9.775571594E0,9.776355645E0
2.490146208E0,2.574645996E-2,8.382568359E-2,9.884694672E0,9.885083630E0
2.500140208E0,3.113525391E-2,5.149291992E-2,9.791588287E0,9.791773185E0
2.510134208E0,3.278182983E-2,7.858657837E-2,9.859247589E0,9.859615283E0
2.520128208E0,5.179229736E-2,9.340576172E-2,9.851314087E0,9.851893032E0
2.530122208E0,4.565505981E-2,5.463638306E-2,9.795180817E0,9.795439589E0
2.540116208E0,4.894821167E-2,5.284011841E-2,9.905950470E0,9.906212330E0
2.550110208E0,9.235794067E-2,4.775070190E-2,9.830507355E0,9.831057164E0
2.560104208E0,1.086740112E-1,7.110214233E-2,9.870773621E0,9.871627901E0
2.570098208E0,9.969268799E-2,1.017883301E-1,9.819729767E0,9.820763320E0
2.580092208E0,6.750961304E-2,1.121168518E-1,9.790540466E0,9.791415136E0
2.590086208E0,4.296066284E-2,1.130149841E-1,9.889784088E0,9.890523106E0
2.600080208E0,6.212081909E-2,7.723937988E-2,9.803413696E0,9.803914780E0
2.610073208E0,5.328918457E-2,4.565505981E-2,9.863887939E0,9.864137540E0
2.620067208E0,4.355941772E-2,4.370910645E-2,9.825417938E0,9.825611715E0
2.630061208E0,4.266128540E-2,8.158035278E-2,9.846823425E0,9.847253775E0
2.640055208E0,5.763015747E-2,9.131011963E-2,9.882299652E0,9.882889516E0
2.650049208E0,7.185058594E-2,6.586303711E-2,9.807904358E0,9.808388672E0
2.660043208E0,5.433700562E-2,6.945556641E-2,9.896969147E0,9.897362016E0
2.670037208E0,6.227050781E-2,8.382568359E-2,9.825717316E0,9.826272189E0
2.680031208E0,6.286926270E-2,9.699829102E-2,9.846823425E0,9.847501855E0
2.690025208E0,4.236190796E-2,7.379653931E-2,9.822873230E0,9.823241774E0
2.700019208E0,4.221221924E-2,4.206253052E-2,9.820927277E0,9.821108069E0
2.710013208E0,4.206253052E-2,5.433700562E-2,9.856104126E0,9.856343658E0
2.720007208E0,5.194198608E-2,6.047424316E-2,9.821825409E0,9.822148923E0
2.730001208E0,6.466552734E-2,8.891510010E-2,9.859846344E0,9.860459292E0
2.739995208E0,6.706054688E-2,9.400451660E-2,9.835596771E0,9.836274590E0
2.749989208E0,5.748046875E-2,9.624984741E-2,9.840087433E0,9.840726026E0
2.759983208E0,8.247848511E-2,1.041833496E-1,9.865684204E0,9.866579026E0
2.769977208E0,6.436614990E-2,1.058299255E-1,9.830507355E0,9.831287699E0
2.779970208E0,5.927673340E-2,1.065783691E-1,9.859097900E0,9.859852133E0
2.789963958E0,8.322692871E-2,9.654922485E-2,9.812245331E0,9.813073265E0
2.799957958E0,4.939727783E-2,5.777984619E-2,9.864187317E0,9.864480221E0
2.809951958E0,6.750961304E-2,5.493576050E-2,9.809850311E0,9.810236420E0
2.819945958E0,5.837860107E-2,5.239105225E-2,9.821675720E0,9.821988945E0
2.829939958E0,3.293151855E-2,6.062393188E-2,9.838141479E0,9.838383379E0
2.839933958E0,4.400848389E-2,6.691085815E-2,9.854607239E0,9.854932655E0
2.849927958E0,5.388793945E-2,8.442443848E-2,9.853110352E0,9.853619386E0
2.859921958E0,6.331832886E-2,8.981323242E-2,9.829758911E0,9.830373130E0
2.869915958E0,6.900650024E-2,9.610015869E-2,9.827363892E0,9.828076017E0
2.879909958E0,3.966751099E-2,9.834548950E-2,9.851763153E0,9.852333864E0
2.889903958E0,5.104385376E-2,7.379653931E-2,9.823771362E0,9.824181146E0
2.899897958E0,7.155120850E-2,7.185058594E-2,9.867779846E0,9.868300825E0
2.909891958E0,8.143066406E-2,7.349716187E-2,9.844578094E0,9.845189213E0
2.919885958E0,8.053253174E-2,6.346801758E-2,9.846374359E0,9.846908230E0
2.929879958E0,6.197113037E-2,7.379653931E-2,9.836794281E0,9.837266291E0
2.939873958E0,3.772155762E-2,9.250762939E-2,9.824220428E0,9.824728373E0
2.949866958E0,3.682342529E-2,8.861572266E-2,9.854158173E0,9.854625412E0
2.959860958E0,2.993774414E-2,7.095245361E-2,9.823172607E0,9.823474467E0
2.969854958E0,5.433700562E-2,8.951385498E-2,9.839788055E0,9.840345228E0
2.979848958E0,7.080276489E-2,1.172062683E-1,9.832453308E0,9.833406754E0
2.989842958E0,5.703140259E-2,9.490264893E-2,9.842931519E0,9.843554235E0
2.999836958E0,5.074447632E-2,5.942642212E-2,9.857301636E0,9.857611376E0
3.009830958E0,7.768844604E-2,4.460723877E-2,9.838590546E0,9.838998385E0
3.019824958E0,8.846603394E-2,7.095245361E-2,9.850266266E0,9.850919043E0
3.029818958E0,7.828720093E-2,9.924362183E-2,9.833950195E0,9.834762561E0
3.039812958E0,3.098556519E-2,9.475296021E-2,9.838889923E0,9.839394958E0
3.049806958E0,2.499801636E-2,7.005432129E-2,9.839338989E0,9.839620128E0
3.059800958E0,5.134323120E-2,7.289840698E-2,9.847122803E0,9.847526481E0
3.069794958E0,6.885681152E-2,6.750961304E-2,9.833950195E0,9.834422975E0
3.079788958E0,4.999603271E-2,8.397537231E-2,9.829908600E0,9.830394425E0
3.089782958E0,4.071533203E-2,8.128097534E-2,9.862241364E0,9.862660343E0
3.099776958E0,4.969665527E-2,9.385482788E-2,9.931098175E0,9.931665996E0
3.109769958E0,7.679031372E-2,7.873626709E-2,9.913734283E0,9.914344335E0
3.119763958E0,8.652008057E-2,9.220825195E-2,1.015308655E1,1.015387387E1
3.129757958E0,5.164260864E-2,8.472381592E-2,9.976304169E0,9.976797580E0
3.139751958E0,4.311035156E-2,7.963439941E-2,1.023137375E1,1.023177448E1
3.149745958E0,8.472381592E-2,7.140151978E-2,9.888586578E0,9.889207290E0
3.159739958E0,7.439529419E-2,8.337661743E-2,1.008393036E1,1.008454946E1
3.169733958E0,6.466552734E-2,9.041198730E-2,9.814191284E0,9.814820758E0
3.179727958E0,2.799179077E-2,7.634124756E-2,9.866881714E0,9.867216744E0
3.189721958E0,3.532653809E-2,8.352630615E-2,9.681417389E0,9.681842142E0
3.199715958E0,4.475692749E-2,6.765930176E-2,9.667346649E0,9.667687014E0
3.209709958E0,5.164260864E-2,7.559280396E-2,9.557475128E0,9.557913583E0
3.219703958E0,6.227050781E-2,8.891510010E-2,9.533375244E0,9.533993238E0
3.229697958E0,6.840774536E-2,8.187973022E-2,9.532626801E0,9.533223884E0
