"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.719698250E0,2.074393893E0,1.535983445E0,-2.803934618E0,3.811089674E0
1.729694250E0,1.979929200E0,1.196177039E0,-2.992894993E0,3.782641879E0
1.739690250E0,2.024318923E0,8.076743632E-1,-3.001804395E0,3.709586851E0
1.749686250E0,2.035395888E0,5.040180755E-1,-2.781896462E0,3.483650178E0
1.759682250E0,1.990689247E0,3.873238041E-1,-2.441535301E0,3.173949910E0
1.769679250E0,1.914182523E0,3.387710103E-1,-2.033247621E0,2.812997763E0
1.779675250E0,1.743106441E0,4.018212444E-1,-1.690903670E0,2.461510837E0
1.789671250E0,1.394738688E0,5.398830691E-1,-1.384555762E0,2.038078604E0
1.799667250E0,9.746308619E-1,7.838009857E-1,-1.235714303E0,1.758192009E0
1.809663250E0,5.391916358E-1,1.108888342E0,-1.303681169E0,1.794420677E0
1.819660250E0,1.516279498E-1,1.374479987E0,-1.427500053E0,1.987446268E0
1.829656250E0,-1.432211155E-1,1.563205011E0,-1.588559854E0,2.233303518E0
1.839652250E0,-3.020367551E-1,1.553943460E0,-1.554036723E0,2.218331945E0
1.849648250E0,-3.812592182E-1,1.510212573E0,-1.127330899E0,1.922752080E0
1.859644250E0,-4.463822901E-1,1.668880717E0,-7.394447386E-2,1.729129197E0
1.869641250E0,-5.372363269E-1,2.081833598E0,1.710728070E0,2.747588857E0
1.879637250E0,-6.253304780E-1,2.667133160E0,3.608065934E0,4.530207201E0
1.889633250E0,-9.989374450E-1,3.236877667E0,5.057466148E0,6.087135360E0
1.899629250E0,-1.853472929E0,3.585460598E0,5.699399210E0,6.983841418E0
1.909625250E0,-2.821806340E0,3.715836550E0,5.549006485E0,7.249931397E0
1.919621250E0,-3.739744353E0,3.649590520E0,4.864964699E0,7.139543425E0
1.929618250E0,-4.402064610E0,3.522507720E0,4.304953467E0,7.093578633E0
1.939614250E0,-4.392692400E0,3.583994701E0,4.143862676E0,7.022276156E0
1.949610250E0,-3.839435579E0,3.729423725E0,4.162594816E0,6.780638797E0
1.959606250E0,-3.091463554E0,3.777653022E0,4.148794802E0,6.406270956E0
1.969602250E0,-2.333718784E0,3.740849184E0,3.986036385E0,5.943793574E0
1.979599250E0,-1.728848298E0,3.541351542E0,3.842647455E0,5.504182650E0
1.989595250E0,-1.601847359E0,3.356378091E0,3.988560628E0,5.453421379E0
1.999591250E0,-1.939391331E0,3.407056786E0,4.453880296E0,5.933491752E0
2.009587250E0,-2.190739743E0,3.753753112E0,4.901961787E0,6.551277159E0
2.019583250E0,-2.162154168E0,4.217071863E0,4.761384197E0,6.717840815E0
2.029579250E0,-2.082270385E0,4.532607500E0,4.137356479E0,6.480594057E0
2.039576250E0,-1.914524293E0,4.607342225E0,3.161948522E0,5.906853994E0
2.049572250E0,-1.674998658E0,4.417306547E0,2.084815385E0,5.163784738E0
2.059568250E0,-1.491142318E0,4.018764421E0,1.036279226E0,4.409971373E0
2.069564250E0,-1.380022124E0,3.485204531E0,1.431375003E-1,3.751213141E0
2.079560250E0,-1.172048942E0,2.888937930E0,-5.027447712E-1,3.157912822E0
